City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
511,Cananeia,BR,80.44,overcast clouds,-25.0147,-47.9267,
512,Axim,GH,81.68,few clouds,4.8699,-2.2405,Axim Beach Hotel
514,Tiarei,PF,80.62,broken clouds,-17.5333,-149.3333,
517,Bandarbeyla,SO,75.38,scattered clouds,9.4942,50.8122,
520,The Valley,AI,81.1,scattered clouds,18.217,-63.0578,CeBlue
523,Black River,JM,82.98,clear sky,18.0264,-77.8487,
527,Labuan,MY,77.36,broken clouds,5.2767,115.2417,Labuan Avenue Hotel
534,Puerto Narino,CO,86.76,overcast clouds,-3.7703,-70.3831,Eco Hotel Euare
542,Pocosol,CR,78.76,broken clouds,10.3667,-84.6167,Chachagua Rainforest Hotel & Hacienda
548,Santa Isabel Do Rio Negro,BR,87.06,overcast clouds,-0.4139,-65.0192,Hotel Maikon
552,Kanye,BW,75.97,scattered clouds,-24.9667,25.3327,
557,Mopipi,BW,80.47,broken clouds,-21.1833,24.8833,
