City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
222,Krasnyy Yar,RU,2023-01-10 21:37:26,46.5331,48.3456,-4.07,64,0,10.76
223,Troitsko-Pechorsk,RU,2023-01-10 21:37:26,62.7084,56.1964,-7.08,86,98,7.7
224,Carbonia,IT,2023-01-10 21:37:27,39.1672,8.5222,48.0,69,13,11.99
225,Vavatenina,MG,2023-01-10 21:37:27,-17.4667,49.2,72.64,97,93,0.49
226,Klaksvik,FO,2023-01-10 21:37:27,62.2266,-6.589,40.12,83,100,18.59
227,Bereda,ES,2023-01-10 21:37:28,43.2686,-7.5406,55.42,97,99,9.86
228,Alakurtti,RU,2023-01-10 21:37:28,66.9672,30.3491,10.45,97,100,3.58
229,Luis Correia,BR,2023-01-10 21:37:28,-2.8792,-41.6669,84.2,70,20,16.11
230,Mendeleyevo,RU,2023-01-10 21:38:29,56.0333,37.2167,11.88,57,0,13.42
231,Urucara,BR,2023-01-10 21:33:52,-2.5364,-57.76,74.1,97,98,3.24
232,Rawlins,US,2023-01-10 21:38:29,41.7911,-107.2387,38.35,77,57,21.16
233,Boromo,BF,2023-01-10 21:38:29,11.75,-2.9333,76.39,19,3,8.46
234,Coquimbo,CL,2023-01-10 21:38:30,-29.9533,-71.3436,71.33,64,0,11.5
235,San Rafael,AR,2023-01-10 21:38:30,-34.6177,-68.3301,85.8,27,50,6.11
236,Kita,ML,2023-01-10 21:38:30,13.0349,-9.4895,77.02,18,8,5.37
237,Chiang Khong,TH,2023-01-10 21:38:31,20.2613,100.4046,59.29,88,7,1.68
238,Byron Bay,AU,2023-01-10 21:34:00,-28.65,153.6167,71.94,79,100,11.45
239,Santa Cruz,BO,2023-01-10 21:37:15,-17.8,-63.1667,86.05,62,40,13.8
240,Kaitangata,NZ,2023-01-10 21:38:32,-46.2817,169.8464,55.36,93,100,8.68
241,Codrington,AU,2023-01-10 21:38:32,-38.2667,141.9667,66.02,71,4,9.26
242,Port Hedland,AU,2023-01-10 21:38:33,-20.3167,118.5667,78.85,83,100,0.0
243,Mehamn,NO,2023-01-10 21:38:33,71.0357,27.8492,22.91,86,0,14.97
244,Pasni,PK,2023-01-10 21:38:33,25.2631,63.471,72.07,74,0,9.82
245,Ahipara,NZ,2023-01-10 21:38:34,-35.1667,173.1667,66.69,82,96,18.68
246,Auki,SB,2023-01-10 21:38:34,-8.7676,160.7034,81.7,73,99,6.2
247,Ostrovnoy,RU,2023-01-10 21:38:34,68.0531,39.5131,15.69,88,100,25.97
248,Abnub,EG,2023-01-10 21:38:35,27.2696,31.1511,55.9,60,0,4.27
249,Rio Grande,BR,2023-01-10 21:38:35,-32.035,-52.0986,82.51,79,16,15.64
250,Palmer,US,2023-01-10 21:36:50,42.1584,-72.3287,37.24,61,75,6.91
251,Tasiilaq,GL,2023-01-10 21:38:35,65.6145,-37.6368,12.36,57,21,4.85
252,Maceio,BR,2023-01-10 21:38:36,-9.6658,-35.7353,80.04,83,20,10.36
253,San Angelo,US,2023-01-10 21:35:13,31.4638,-100.437,83.53,14,0,21.85
254,Hun,LY,2023-01-10 21:38:36,29.1268,15.9477,54.52,52,0,7.99
255,Abu Samrah,SY,2023-01-10 21:38:36,35.3029,37.1841,43.41,72,0,2.48
256,Hovd,MN,2023-01-10 21:38:37,48.0056,91.6419,19.29,66,48,6.96
257,Adoni,IN,2023-01-10 21:38:37,15.6333,77.2833,65.03,69,0,5.55
258,Saint-Philippe,RE,2023-01-10 21:38:37,-21.3585,55.7679,74.79,80,26,10.27
259,Ereymentau,KZ,2023-01-10 21:38:38,51.6199,73.1033,-23.58,98,72,13.27
260,Longyearbyen,SJ,2023-01-10 21:38:38,78.2186,15.6401,31.84,74,40,10.36
261,La Seyne-Sur-Mer,FR,2023-01-10 21:38:38,43.0982,5.8847,54.88,56,33,8.99
262,Alexandria,EG,2023-01-10 21:38:38,31.2156,29.9553,60.53,70,1,7.74
263,Camara De Lobos,PT,2023-01-10 21:38:39,32.6333,-16.9667,65.03,85,40,7.0
264,Sitka,US,2023-01-10 21:38:39,57.0531,-135.33,39.09,70,40,0.0
265,Ngaoundere,CM,2023-01-10 21:38:39,7.3167,13.5833,65.44,22,100,5.17
266,Acapulco,MX,2023-01-10 21:38:40,16.8634,-99.8901,84.02,70,0,8.05
267,Le Port,RE,2023-01-10 21:38:40,-20.9373,55.2919,76.96,85,11,7.83
268,Mankono,CI,2023-01-10 21:38:40,8.0586,-6.1897,77.77,18,3,2.86
269,Rancho Palos Verdes,US,2023-01-10 21:38:41,33.7445,-118.387,59.52,94,100,9.22
