City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
226,Kodiak,US,57.79,-152.4072,20.71,86,75,5.75,light snow
227,Mazatlan,MX,23.2167,-106.4167,74.01,79,63,5.01,broken clouds
228,Novokorsunskaya,RU,45.6408,39.1464,42.85,63,100,7.43,overcast clouds
229,Eirunepe,BR,-6.6603,-69.8736,88.47,54,97,2.37,overcast clouds
230,Kimbe,PG,-5.5502,150.1429,75.97,92,99,2.62,light rain
231,Novoanninskiy,RU,50.5287,42.6747,22.55,79,13,13.69,few clouds
232,Pangnirtung,CA,66.1451,-65.7125,-7.6,45,75,3.44,broken clouds
233,Saint Anthony,US,45.0205,-93.218,33.4,78,100,9.22,overcast clouds
234,Sunyani,GH,7.3399,-2.3268,85.86,18,19,3.83,few clouds
235,Bafq,IR,31.6128,55.4107,38.8,81,23,1.81,few clouds
236,Kichera,RU,55.9375,110.0997,-26.07,82,36,7.45,scattered clouds
237,Zhob,PK,31.3411,69.4481,37.17,86,87,0.69,overcast clouds
238,Ribeira Grande,PT,38.5167,-28.7,60.78,72,40,4.61,scattered clouds
239,Walvis Bay,NA,-22.9575,14.5053,70.09,75,59,11.21,broken clouds
240,South Venice,US,27.0531,-82.4243,77.05,47,0,9.22,clear sky
241,Mujiayingzi,CN,42.1167,118.7833,11.32,70,1,9.44,clear sky
242,Saldanha,ZA,-33.0117,17.9442,71.65,92,78,9.73,broken clouds
243,Agirish,RU,61.9247,63.0231,10.2,92,30,6.26,scattered clouds
244,Saint George,US,37.1041,-113.5841,43.43,59,0,3.44,clear sky
245,Pafos,CY,34.7667,32.4167,56.98,77,20,6.91,few clouds
246,Guerrero Negro,MX,27.9769,-114.0611,59.88,55,82,12.68,broken clouds
247,Provideniya,RU,64.3833,-173.3,-19.5,90,12,7.85,few clouds
248,Poum,NC,-20.2333,164.0167,78.28,78,100,17.2,overcast clouds
249,Korla,CN,41.7597,86.1469,6.49,85,5,2.48,clear sky
250,Wenling,CN,28.3669,121.36,41.22,67,0,5.91,clear sky
251,Orlik,RU,52.5178,99.825,-26.77,96,75,3.04,broken clouds
252,Ituporanga,BR,-27.4144,-49.6025,78.3,91,72,2.26,broken clouds
253,Huntington,US,38.4193,-82.4452,53.11,73,0,3.44,clear sky
254,Vostok,RU,46.4856,135.8833,-10.19,92,93,4.23,overcast clouds
255,Zemio,CF,5.0314,25.1361,79.29,27,0,2.48,clear sky
256,Galle,LK,6.0367,80.217,72.41,85,73,10.4,broken clouds
257,Port Pirie,AU,-33.1833,138.0167,57.24,64,0,14.0,clear sky
258,San Cristobal,VE,7.7669,-72.225,73.58,40,50,5.23,scattered clouds
259,Lata,PT,40.1629,-8.3327,48.07,86,58,5.79,broken clouds
260,Vao,NC,-22.6667,167.4833,74.37,69,100,22.06,overcast clouds
261,Victoria,HK,22.2855,114.1577,60.24,66,23,8.99,few clouds
262,San Angelo,US,31.4638,-100.437,63.95,25,0,19.57,clear sky
263,Coos Bay,US,43.3665,-124.2179,43.14,94,100,5.75,overcast clouds
264,Apatity,RU,67.5641,33.4031,23.54,93,100,10.29,light snow
265,Ilulissat,GL,69.2167,-51.1,-30.01,69,3,7.31,clear sky
266,Umm Lajj,SA,25.0213,37.2685,72.54,40,32,6.98,scattered clouds
267,Ust-Ilimsk,RU,58.0006,102.6619,-43.17,99,62,3.33,broken clouds
268,Geraldton,AU,-28.7667,114.6,73.81,73,40,11.5,scattered clouds
269,Khyriv,UA,49.5333,22.8524,37.63,75,48,14.43,scattered clouds
270,La Ronge,CA,55.1001,-105.2842,12.45,85,100,5.75,overcast clouds
271,Margate,GB,51.3813,1.3862,34.7,81,51,1.01,broken clouds
272,Svetlogorsk,BY,52.6333,29.7333,45.59,93,100,18.37,overcast clouds
273,Selma,US,36.5708,-119.6121,52.18,93,0,0.0,clear sky
274,Te Anau,NZ,-45.4167,167.7167,51.82,93,21,1.45,few clouds
275,Agartala,IN,23.8364,91.275,56.61,37,0,4.32,clear sky
276,Thinadhoo,MV,0.5333,72.9333,81.61,75,18,10.38,few clouds
277,Colina,BR,-20.7133,-48.5408,83.35,59,11,1.63,moderate rain
278,Chanute,US,37.6792,-95.4572,51.48,87,100,6.91,light rain
279,Cartagena,CO,10.3997,-75.5144,85.62,70,20,9.22,few clouds
280,Yamada,JP,39.4667,141.95,29.26,65,7,6.73,clear sky
281,Sabang,ID,5.8933,95.3214,80.08,74,100,11.59,overcast clouds
282,Flin Flon,CA,54.7682,-101.865,8.44,78,75,6.91,broken clouds
283,Kemijarvi,FI,66.7131,27.4306,27.37,93,100,10.74,light snow
284,Aguie,NE,13.506,7.7786,74.46,18,0,7.94,clear sky
285,Darab,IR,28.7519,54.5444,48.61,61,1,5.21,clear sky
286,Kasongo,CD,-4.45,26.6667,69.01,94,66,2.42,broken clouds
287,Mabaruma,GY,8.2,-59.7833,77.2,90,40,5.19,light rain
288,Ureki,GE,41.9956,41.7786,55.36,65,27,6.33,scattered clouds
289,Yulara,AU,-25.2406,130.9889,77.85,42,11,19.93,few clouds
290,Joniskis,LT,56.2403,23.6153,34.72,98,100,11.83,light snow
291,Mandera,KE,3.9366,41.867,86.67,25,43,8.86,scattered clouds
292,Tocopilla,CL,-22.092,-70.1979,74.61,71,25,10.04,scattered clouds
293,Springbok,ZA,-29.6643,17.8865,73.98,35,40,14.97,scattered clouds
294,Ugoofaaru,MV,5.6667,73.0,80.44,78,16,20.6,few clouds
295,Fandriana,MG,-20.2333,47.3833,58.62,92,97,8.05,overcast clouds
296,Aswan,EG,24.0934,32.907,72.7,37,0,4.61,clear sky
297,Puerto Madryn,AR,-42.7692,-65.0385,80.56,49,16,18.68,few clouds
298,Kharan,PK,28.5833,65.4167,50.07,80,100,5.28,overcast clouds
299,Dinguiraye,GN,11.3,-10.7167,88.32,11,0,3.2,clear sky
300,Kafanchan,NG,9.5833,8.3,78.53,19,8,0.16,clear sky
301,Fairbanks,US,64.8378,-147.7164,-14.46,75,20,0.0,few clouds
302,Alofi,NU,-19.0595,-169.9187,76.89,100,49,4.61,scattered clouds
303,Shenjiamen,CN,29.9576,122.298,42.22,58,3,6.58,clear sky
304,Constitucion,CL,-35.3333,-72.4167,68.86,56,5,6.71,clear sky
305,Lyubytino,RU,58.8122,33.3922,35.47,98,100,16.2,overcast clouds
306,Tateyama,JP,34.9833,139.8667,45.1,79,89,18.39,overcast clouds
307,Bereda,ES,43.2686,-7.5406,41.41,100,84,6.08,light rain
308,Churapcha,RU,62.0025,132.4325,-48.84,95,99,4.27,overcast clouds
309,Marshall,US,34.3834,-86.3333,67.08,82,100,8.05,overcast clouds
310,Aykhal,RU,66.0,111.5,-45.65,100,100,4.29,overcast clouds
311,San Quintin,MX,30.4833,-115.95,56.44,56,100,1.9,overcast clouds
312,Srednekolymsk,RU,67.45,153.6833,-42.74,99,93,4.74,overcast clouds
313,Barrow,US,71.2906,-156.7887,-5.78,84,100,18.41,haze
314,Beyneu,KZ,45.3167,55.2,28.06,70,45,11.3,scattered clouds
315,Epe,NG,6.5841,3.9834,80.35,72,80,8.86,broken clouds
316,Alvaraes,BR,-3.2208,-64.8042,80.47,86,97,2.91,overcast clouds
317,Codrington,AU,-38.2667,141.9667,56.03,54,82,13.65,broken clouds
318,Airai,TL,-8.9266,125.4092,61.57,93,90,2.53,overcast clouds
319,Man,CI,7.4125,-7.5538,86.49,17,13,2.51,few clouds
320,Buraydah,SA,26.326,43.975,54.05,43,49,5.84,scattered clouds
321,Opuwo,NA,-18.0607,13.84,73.4,70,98,5.55,overcast clouds
322,Sinnamary,GF,5.3833,-52.95,80.01,73,79,10.18,broken clouds
323,Arman,RU,59.7,150.1667,-10.98,78,100,13.69,overcast clouds
324,Dingle,PH,10.9995,122.6711,75.11,94,100,8.19,overcast clouds
325,Karsava,LV,56.7841,27.6883,36.27,98,100,9.26,overcast clouds
326,Zadar,HR,44.1197,15.2422,48.81,93,100,9.22,light rain
327,Shingu,JP,33.7333,135.9833,38.08,81,1,6.44,clear sky
328,Bijar,IR,35.8668,47.6051,19.24,91,6,3.71,clear sky
329,Itoman,JP,26.1247,127.6694,60.82,64,75,13.8,broken clouds
330,Leh,IN,34.1667,77.5833,7.03,61,100,2.89,overcast clouds
331,Anadyr,RU,64.75,177.4833,-21.5,76,0,15.66,clear sky
332,Urcos,PE,-13.6861,-71.6228,66.09,64,100,6.04,overcast clouds
333,Half Moon Bay,US,37.4636,-122.4286,52.23,88,75,8.05,mist
334,Hare Bay,CA,48.8499,-54.0148,40.35,97,100,10.2,overcast clouds
335,Sept-Iles,CA,50.2001,-66.3821,36.12,88,100,4.61,moderate rain
336,Ilhabela,BR,-23.7781,-45.3581,80.73,79,27,5.66,scattered clouds
337,Hajipur,IN,25.6833,85.2167,48.18,93,0,0.0,mist
338,Fortuna,US,40.5982,-124.1573,50.67,80,75,17.27,broken clouds
339,Puerto Escondido,MX,15.85,-97.0667,83.32,63,32,10.33,scattered clouds
340,Antofagasta,CL,-23.65,-70.4,72.68,67,31,10.8,scattered clouds
